Accession,Length,Host
NC_014767,184095,Micromonas
NC_014743,5086,Pan troglodytes verus
NC_014748,5639,Chaetoceros tenuissimus
NC_014730,8127,Vigna unguiculata
NC_014739,2605,Cicer arietinum
NC_014740,2582,Cicer arietinum
NC_014741,1388,Solanum lycopersicum
NC_014712,1900,Oryza sativa
NC_014713,1798,Oryza sativa
NC_014707,2736,Carica papaya
NC_014665,5905,Sus scrofa
NC_014649,1181549,Acanthamoeba castellanii
NC_014660,167716,Acinetobacter
NC_014661,164093,Acinetobacter johnsonii
NC_014662,165540,Escherichia coli
NC_014663,169947,Acinetobacter johnsonii
NC_014646,1351,Cleome affinis
NC_014647,2754,Malvastrum coromandelianum
NC_014648,7543,Ananas comosus
NC_014637,617453,Cafeteria roenbergensis
NC_014635,163875,Aeromonas salmonicida
NC_014636,225268,Aeromonas salmonicida
NC_014630,1331,Cleome affinis
NC_014631,3065,Spinacia oleracea
NC_014609,7510,Armigeres subalbatus
NC_014598,3948,Rubus
NC_014599,3914,Rubus
NC_014600,3818,Rubus
NC_014601,3650,Rubus
NC_014602,2563,Rubus
NC_014603,1996,Rubus
NC_014604,1957,Rubus
NC_014605,1936,Rubus
NC_014606,1205,Rubus
NC_014607,1141,Rubus
NC_014593,3431,Vaccinium
NC_014594,1371,Nicotiana tabacum
NC_014595,170605,Shigella sonnei
NC_014596,2707,Nicotiana tabacum
NC_014597,1379,Nicotiana tabacum
NC_014564,45413,Meleagris gallopavo
NC_014545,5866,Gossypium hirsutum
NC_014546,6643,Plumeria rubra
NC_014547,2762,Digitaria didactyla
NC_014542,2763,Solanum lycopersicum
NC_014509,4247,Nicotiana velutina
NC_014510,2591,Solanum lycopersicum
NC_014511,3274,Gallus gallus
NC_014512,2801,Gallus gallus
NC_014513,2366,Gallus gallus
NC_014514,2104,Gallus gallus
NC_014515,1872,Gallus gallus
NC_014516,1353,Gallus gallus
NC_014517,1242,Gallus gallus
NC_014518,1026,Gallus gallus
NC_014519,1025,Gallus gallus
NC_014520,765,Gallus gallus
NC_014521,672,Gallus gallus
NC_014324,2981,Brassica rapa
NC_014473,2744,Croton glandulosus
NC_014474,8126,Macaca fascicularis
NC_014480,3322,Pan troglodytes
NC_014481,3427,Rhododendron maximum
NC_014470,29276,Rhinolophus blasii
NC_014460,41207,Staphylococcus aureus
NC_014469,7181,Homo sapiens
NC_014468,4286,Myotis ricketti
NC_014462,3554,Pyricularia oryzae
NC_014463,3074,Pyricularia oryzae
NC_014464,3043,Pyricularia oryzae
NC_014465,3250,Pyricularia oryzae
NC_014467,176788,Escherichia coli
NC_014446,2608,Malvastrum coromandelianum
NC_014447,2578,Malvastrum coromandelianum
NC_014457,59199,Clostridium
NC_014458,59598,Mycolicibacterium smegmatis MC2 155
NC_014459,59798,Mycolicibacterium smegmatis MC2 155
NC_014461,73453,Mycolicibacterium smegmatis MC2 155
NC_014411,8035,Turdus pallidus
NC_014412,7641,Copsychus saularis
NC_014413,7678,Turdus hortulorum
NC_014406,4926,Homo sapiens
NC_014407,4952,Homo sapiens
NC_014395,1690,Homo sapiens
NC_014396,3885,Homo sapiens
NC_014379,1334,Citrullus lanatus subsp. vulgaris
NC_014380,2628,Citrullus lanatus subsp. vulgaris
NC_014381,2607,Citrullus lanatus subsp. vulgaris
NC_014373,18940,Homo sapiens
NC_014357,6085,Penaeus chinensis
NC_014358,4944,Gorilla gorilla
NC_014359,7951,Spissistilus festinus
NC_014360,8086,Neoaliturus tenellus
NC_014361,5232,Homo sapiens
NC_014372,18935,Homo sapiens
NC_014325,9741,Helianthus annuus
NC_014326,7510,Mus musculus
NC_014327,9745,Capsicum annuum
NC_014260,172253,Escherichia coli
NC_014252,9750,Panax notoginseng
NC_014064,9489,Freesia
NC_014236,3947,Pteropus scapulatus
NC_014237,3903,Pteropus scapulatus
NC_014238,3848,Pteropus scapulatus
NC_014239,2327,Pteropus scapulatus
NC_014240,2076,Pteropus scapulatus
NC_014241,2068,Pteropus scapulatus
NC_014242,1316,Pteropus scapulatus
NC_014243,1231,Pteropus scapulatus
NC_014244,1203,Pteropus scapulatus
NC_014245,808,Pteropus scapulatus
NC_014229,37068,Streptomyces avermitilis
NC_014185,7342,Homo sapiens
NC_014140,2768,Glycine max
NC_014141,2708,Glycine max
NC_014142,2647,Glycine max
NC_014143,7737,Bettongia penicillata
NC_014066,2612,Abelmoschus esculentus
NC_014067,2582,Abelmoschus esculentus
NC_014138,2653,Abutilon
NC_014139,2618,Abutilon
NC_014129,361,Hevea brasiliensis
NC_014089,2908,Homo sapiens
NC_014092,2735,Sus scrofa
NC_014093,3253,Homo sapiens
NC_014095,2897,Homo sapiens
NC_014097,2856,Homo sapiens
NC_014099,16622,Sulfolobus sp. G4ST-2
NC_014068,2910,Homo sapiens
NC_014070,2878,Sus scrofa
NC_014071,2797,Canis lupus familiaris
NC_014072,2064,Felis catus
NC_014077,3899,Pan troglodytes
NC_014085,3371,Saguinus oedipus
NC_014087,3718,Aotus trivirgatus
NC_014038,9965,Helianthus annuus
NC_014037,9782,Saccharum sp.
NC_014036,174436,Klebsiella pneumoniae
NC_013999,11563,Phlebiopsis gigantea
NC_013953,156344,Lymantria xylina
NC_013936,52141,Mycolicibacterium smegmatis
NC_013774,1767,Sus scrofa
NC_013802,1354,Gossypium hirsutum
NC_013801,1347,Acalypha
NC_013803,1366,Gossypium hirsutum
NC_013796,5112,Zalophus californianus
NC_013797,108592,Pieris rapae
NC_013772,176677,Mythimna separata
NC_013758,8082,Haloarcula hispanica
NC_013756,368454,Acanthamoeba castellanii
NC_013699,5018,Diplodia scrobiculata
NC_013649,43809,Klebsiella pneumoniae
NC_013691,74901,Pseudomonas aeruginosa
NC_013692,72544,Pseudomonas aeruginosa
NC_013693,158006,Shigella boydii
NC_013694,51376,Mycolicibacterium smegmatis MC2 155
NC_013696,42822,Enterococcus faecalis
NC_013697,157486,Delftia acidovorans
NC_013698,58652,Clavibacter michiganensis subsp. michiganensis
NC_013668,248526,Anguilla anguilla
NC_013639,2808,Abelmoschus esculentus
NC_013640,2823,Ipomoea batatas
NC_013643,36270,Enterococcus faecalis
NC_013644,37856,Enterococcus faecalis
NC_013645,34882,Streptococcus thermophilus
NC_013646,38764,Enterococcus faecalis
NC_013647,41119,Klebsiella pneumoniae
NC_013648,39576,Enterococcus faecalis
NC_013650,155445,Mycolicibacterium smegmatis MC2 155
NC_013651,38497,Vibrio
NC_013594,37235,Escherichia coli
NC_013638,43144,Pseudomonas fluorescens SBW25
NC_013593,1387,Abelmoschus esculentus
NC_013597,43970,Aggregatibacter actinomycetemcomitans D11S-1
NC_013598,35525,Streptococcus thermophilus
NC_013599,36674,Xylella fastidiosa
NC_013600,45169,Sodalis glossinidius
NC_013105,7040,Sorbus aucuparia
NC_013220,3220,Phytophthora infestans
NC_013221,2896,Phytophthora infestans
NC_013423,1364,Cyanthillium cinereum
NC_013424,1363,Leucas zeylanica
NC_013585,24186,Acidianus brierleyi
NC_013587,15684,Sulfolobus sp. G4ST-T-11
NC_013588,17602,Sulfolobus sp. G4T-1
NC_013528,11381,Oeciacus vicarius
NC_013499,6780,Drosophila melanogaster
NC_013465,2807,Ipomoea batatas
NC_013467,2814,Ipomoea batatas
NC_013469,9098,Fusarium graminearum
NC_013470,2383,Fusarium graminearum
NC_013471,1739,Fusarium graminearum
NC_013455,7317,Saccharum officinarum
NC_013462,8931,Rosellinia necatrix
NC_013463,7180,Rosellinia necatrix
NC_013464,2744,Saccharum
NC_013439,5168,Pongo pygmaeus
NC_013443,6534,Homo sapiens
NC_013414,2733,Mucuna
NC_013415,2657,Mucuna
NC_013413,2751,Solanum lycopersicum
NC_013261,9502,Canna
NC_013262,7586,Pelargonium x hortorum
NC_013237,8242,Canis lupus familiaris
NC_013225,3804,Paguma larvata
NC_013226,3870,Paguma larvata
NC_013227,2251,Paguma larvata
NC_013228,2127,Paguma larvata
NC_013229,3888,Paguma larvata
NC_013230,2241,Paguma larvata
NC_013231,1368,Paguma larvata
NC_013232,1331,Paguma larvata
NC_013233,1198,Paguma larvata
NC_013234,1098,Paguma larvata
NC_013195,40761,Staphylococcus aureus
NC_013197,17036,Thermus thermophilus
NC_013152,29459,Lactococcus lactis
NC_013155,32182,Lactococcus lactis
NC_013135,12390,Drosophila melanogaster
NC_013116,2166,Sclerotinia sclerotiorum
NC_013102,2748,Solanum lycopersicum
NC_013103,1369,Solanum tuberosum
NC_013106,2335,Sorbus aucuparia
NC_013107,1348,Sorbus aucuparia
NC_013108,1559,Sorbus aucuparia
NC_013109,2390,Primula malacoides
NC_013110,2344,Primula malacoides
NC_013111,2740,Manihot esculenta
NC_013112,1137,Manihot esculenta
NC_013113,958,Manihot esculenta
NC_013094,1003,Vicia faba
NC_013095,992,Vicia faba
NC_013096,994,Vicia faba
NC_013097,980,Vicia faba
NC_013098,981,Vicia faba
NC_013099,986,Vicia faba
NC_013100,984,Vicia faba
NC_013101,987,Vicia faba
NC_013085,194454,Synechococcus
NC_013075,7492,Solanum lycopersicum
NC_013076,5109,Solanum lycopersicum
NC_013036,158091,Anatidae
NC_013060,6586,Homo sapiens
NC_013057,3383,Mastomys natalensis
NC_013058,7207,Mastomys natalensis
NC_013059,40975,Salmonella enterica subsp. enterica serovar Anatum
NC_013055,39896,Burkholderia pseudomallei
NC_013035,7184,Homo sapiens
NC_013011,1315,Gossypium mustelinum
NC_013014,1874,Sclerotinia sclerotiorum
NC_013015,1852,Sclerotinia sclerotiorum
NC_013017,2386,Abelmoschus esculentus
NC_013019,2774,Crotalaria juncea
NC_013021,107530,Prochlorococcus marinus str. MIT 9313
NC_013022,2791,Ipomoea indica
NC_012932,11064,Aedes albopictus
NC_013006,8517,Kalanchoe blossfeldiana
NC_013007,16354,Daucus carota
NC_012986,7989,Homo sapiens
NC_012936,31250,Rattus
NC_012957,7982,Homo sapiens
NC_012958,4806,Drosophila melanogaster
NC_012931,5673,Triticum aestivum
NC_012909,8591,Lactuca sativa
NC_012910,8556,Lactuca sativa
NC_012868,6094,Escherichia coli K-12
NC_012869,8433,Hydrangea macrophylla
NC_012884,31147,Streptococcus
NC_012812,12337,Bos taurus
NC_012805,342,Plectranthus scutellarioides
NC_012798,6580,Homo sapiens
NC_012799,10282,Triticum aestivum
NC_012800,7632,Homo sapiens
NC_012801,7205,Homo sapiens
NC_012802,7215,Homo sapiens
NC_012786,2672,Passiflora edulis f. flavicarpa
NC_012787,2644,Passiflora edulis f. flavicarpa
NC_012789,1384,Euphorbia pulcherrima
NC_012788,41441,Mycolicibacterium smegmatis MC2 155
NC_012783,226205,Chlorocebus aethiops
NC_012784,44492,Staphylococcus aureus
NC_012776,3189,Homo sapiens
NC_012777,7163,Homo sapiens
NC_012756,31276,Streptococcus oralis
NC_012757,6842,Vibrio cholerae
NC_012743,62715,Burkholderia cenocepacia
NC_012749,88487,Escherichia coli O157:H7
NC_012753,37184,Streptococcus thermophilus
NC_012754,3933,Culex annulirostris
NC_012755,2792,Culex annulirostris
NC_012740,166418,Escherichia coli K-12
NC_012741,171451,Escherichia coli K-12
NC_012742,44080,Xanthomonas campestris pv. campestris
NC_012728,7961,Ipomoea batatas
NC_012729,5104,Homo sapiens
NC_012699,6434,Sus scrofa
NC_012702,11752,Ornithodoros capensis
NC_012703,11631,Acari
NC_012698,8995,Manihot esculenta
NC_012696,73325,Sulfitobacter sp. EE-36
NC_012697,74611,Ruegeria pomeroyi DSS-3
NC_012685,5759,Culex pipiens pipiens
NC_012665,2743,Malvastrum coromandelianum
NC_012666,1337,Emilia sonchifolia
NC_012671,10865,Culex tritaeniorhynchus
NC_012662,43931,Vibrio parahaemolyticus
NC_012663,60074,Lactococcus lactis
NC_012664,2754,Eragrostis curvula
NC_012636,3776,Aedes aegypti
NC_012635,168394,Enterobacteriaceae
NC_012639,141291,Euproctis pseudoconspersa
NC_012584,30570,Apodemus agrarius
NC_012585,2896,Berkeleyomyces basicola
NC_012564,5242,Homo sapiens
NC_012561,11526,Buteo jamaicensis
NC_012557,1389,Ageratum conyzoides
NC_012558,7048,Halorubrum sp. PV6
NC_012553,2609,Euphorbia heterophylla
NC_012554,2578,Euphorbia heterophylla
NC_012531,10411,Solenopsis invicta
NC_012532,10794,Simiiformes
NC_012533,10723,Culicidae
NC_012534,10941,Culicidae
NC_012535,4475,Homalodisca vitripennis
NC_012536,3522,Homalodisca vitripennis
NC_012537,3180,Homalodisca vitripennis
NC_012538,2559,Homalodisca vitripennis
NC_012539,2521,Homalodisca vitripennis
NC_012540,1665,Homalodisca vitripennis
NC_012541,1702,Homalodisca vitripennis
NC_012542,1434,Homalodisca vitripennis
NC_012543,1187,Homalodisca vitripennis
NC_012544,1205,Homalodisca vitripennis
NC_012545,1234,Homalodisca vitripennis
NC_012546,1040,Homalodisca vitripennis
NC_012492,2752,Solanum lycopersicum
NC_012493,1349,Solanum lycopersicum
NC_012484,6506,Vitis vinifera
NC_012481,2597,Rhynchosia minima
NC_012482,2542,Rhynchosia minima
NC_012437,7722,Anatidae
NC_012418,43152,Pseudomonas aeruginosa
NC_012419,21115,Enterococcus faecalis
NC_012223,44899,Escherichia coli
NC_012210,8604,Cicer arietinum
NC_012211,7118,Allium
NC_012134,3350,Liatris spicata
NC_012135,2935,Liatris spicata
NC_012136,2214,Liatris spicata
NC_012206,2784,Solanum lycopersicum
NC_012137,2759,Gossypium hirsutum
NC_012120,2725,Gossypium darwinii
NC_012126,2140,Zalophus californianus
NC_012127,274,Plectranthus scutellarioides
NC_012094,1898,Chelonia mydas
NC_012041,2757,Abelmoschus esculentus
NC_012042,5196,Homo sapiens
NC_012038,8542,Helleborus x hybridus
NC_012027,69378,Mycolicibacterium smegmatis MC2 155
NC_011976,43016,Salmonella enterica subsp. enterica serovar Anatum
NC_011919,2751,Abelmoschus esculentus
NC_011920,8222,Rudbeckia hirta
NC_011801,38934,Lactobacillus jensenii
NC_011802,41941,Salmonella enterica
NC_011811,84576,Erwinia amylovora
NC_011800,8791,Homo sapiens
NC_011803,6449,Gymnocalycium mihanovichii
NC_011804,2740,Gossypium darwinii
NC_011805,2737,Gossypium davidsonii
NC_011810,65764,Pseudomonas aeruginosa
NC_011829,8210,Sus scrofa
NC_011765,8256,Erinaceus europaeus
NC_011756,66390,Pseudomonas aeruginosa
NC_011702,13696,Vitis vinifera
NC_011703,66235,Pseudomonas
NC_011704,7422,Oryctolagus cuniculus
NC_011705,1609,Raphanus sativus
NC_011706,1581,Raphanus sativus
NC_011639,13196,Culicoides austropalpalis
NC_011643,4009,Glycine max
NC_011644,148371,Equus
NC_011645,37456,Bacillus
NC_011611,36885,Pseudomonas aeruginosa PA14
NC_011613,36632,Pseudomonas aeruginosa PA14
NC_011612,45344,Staphylococcus aureus
NC_011614,42526,Staphylococcus aureus
NC_011590,348,Capsicum annuum
NC_011591,3437,Solanum lycopersicum
NC_011588,127615,Oryctes rhinoceros
NC_011589,40287,Stenotrophomonas maltophilia
NC_011583,2797,Manihot esculenta
NC_011584,2776,Manihot esculenta
NC_011534,39472,Kluyvera cryocrescens
NC_011540,8500,Hippeastrum
NC_011543,4652,Euphorbia pulcherrima
NC_011545,6310,Penaeus monodon
NC_011549,26396,Turdus hortulorum
NC_011550,26552,Lonchura striata
NC_011552,7988,Prunus persica
NC_011556,2008,Beta vulgaris
NC_011557,1783,Beta vulgaris
NC_011532,12926,Lactuca sativa
NC_011536,4547,Imperata cylindrica
NC_011538,6285,Nemesia fruticans
NC_011541,9650,Narcissus tazetta subsp. chinensis
NC_011546,8913,Cercopithecus mona
NC_011551,39867,Candidatus Hamiltonella defensa
NC_011553,3478,Rubus
NC_011554,2879,Rubus
NC_011555,2290,Rubus
NC_011560,9973,Zantedeschia
NC_011530,7020,Caretta caretta
NC_011525,7890,Solanum tuberosum
NC_011523,14398,Bacillus anthracis
NC_011515,4193,Daucus carota
NC_011423,111724,Adoxophyes orana
NC_011421,132562,Bacillus subtilis
NC_011398,50930,Clostridioides difficile
NC_011399,8929,Ralstonia
NC_011372,2804,Botrytis cinerea
NC_011373,46872,Pseudomonas aeruginosa
NC_011357,62147,Escherichia coli O157:H7
NC_011362,356,Morus
NC_011356,54896,Escherichia coli O157:H7
NC_011344,47342,Staphylococcus aureus
NC_011346,2776,Clerodendrum cyrtophyllum
NC_011347,2739,Clerodendrum cyrtophyllum
NC_011317,4139,Anopheles gambiae
NC_011318,38753,Clostridium perfringens
NC_011308,35638,Listeria
NC_011309,2757,Jatropha gossypiifolia
NC_011285,64618,Mycolicibacterium smegmatis MC2 155
NC_011287,58554,Mycolicibacterium smegmatis MC2 155
NC_011288,58471,Mycolicibacterium smegmatis MC2 155
NC_011289,58578,Mycolicibacterium smegmatis MC2 155
NC_011290,64807,Mycolicibacterium smegmatis MC2 155
NC_011291,47057,Mycolicibacterium smegmatis MC2 155
NC_011292,68952,Mycolicibacterium smegmatis MC2 155
NC_011271,155372,Mycobacterium
NC_011267,49487,Mycolicibacterium smegmatis MC2 155
NC_011268,2743,Jatropha
NC_011269,154017,Mycobacterium
NC_011270,154906,Mycobacterium
NC_011272,153894,Mycobacterium
NC_011273,164602,Mycolicibacterium smegmatis MC2 155
NC_011222,44929,Bacteroides fragilis
NC_011216,37635,Burkholderia cenocepacia
NC_011217,15330,Sulfolobus islandicus
NC_011201,43079,Ralstonia solanacearum
NC_011202,34794,Homo sapiens
NC_011203,35343,Homo sapiens
NC_011187,3983,Rubus
NC_011181,2660,Abelmoschus esculentus
NC_011182,2653,Abelmoschus esculentus
NC_011165,64427,Pseudomonas aeruginosa
NC_011166,66530,Pseudomonas aeruginosa
NC_011167,53104,Bacillus thuringiensis
NC_011142,47453,Iodobacter sp. CdM7
NC_011135,2767,Solanum lycopersicum
NC_011132,18343,Acanthamoeba polyphaga
NC_011104,39989,Lactobacillus rhamnosus
NC_011109,8089,Tursiops truncatus
NC_011103,60195,Rhizobium
NC_011106,7564,Vitis x labruscana
NC_011107,42961,Pseudomonas aeruginosa
NC_011108,4198,Phleum pratense
NC_011096,2794,Solanum lycopersicum
NC_011097,9205,Cycadopsida
NC_011085,38457,Morganella morganii
NC_011086,6290,Diascia
NC_011062,6539,Chenopodium amaranticolor
NC_011065,2769,Prunus
NC_011066,1028,Prunus
NC_011067,960,Prunus
NC_011068,2814,Cucurbitaceae
NC_011069,1064,Cucurbitaceae
NC_011070,974,Cucurbitaceae
NC_011058,2584,Cicer arietinum
NC_011057,68090,Mycobacterium
NC_011051,8032,Capreolus capreolus
NC_011052,2780,Ipomoea batatas
NC_011038,38677,Yersinia pestis
NC_011039,70110,Mycolicibacterium smegmatis
NC_011040,39816,Escherichia coli
NC_011041,137947,Escherichia coli O157
NC_011042,39252,Escherichia coli
NC_011043,41181,Klebsiella sp. 390
NC_011044,69904,Mycolicibacterium smegmatis
NC_011045,38841,Escherichia coli
NC_011048,19282,Bacillus subtilis
NC_011022,51621,Mycobacterium
NC_011024,2771,Solanum lycopersicum
NC_010984,3567,Alternaria alternata
NC_010832,7212,Lactuca sativa
NC_010833,2708,Solanum lycopersicum
NC_010834,2663,Solanum lycopersicum
NC_010835,2560,Solanum lycopersicum
NC_010836,2498,Solanum lycopersicum
NC_010837,2666,Blainvillea rhomboidea
NC_010838,2634,Blainvillea rhomboidea
NC_010839,2725,Solanum lycopersicum
NC_010840,2756,Solanum lycopersicum
NC_010947,2755,Allamanda cathartica
NC_010948,2622,Wissadula amplissima
NC_010949,2561,Solanum tuberosum
NC_010950,2569,Solanum tuberosum
NC_010951,2578,Wissadula amplissima
NC_010952,2605,Wissadula amplissima
NC_010953,2553,Wissadula amplissima
NC_010954,9656,Fritillaria thunbergii
NC_010955,10207,Xenopus laevis
NC_010956,35083,Homo sapiens
NC_010944,6381,Brugmansia x candida
NC_010945,39136,Streptococcus gordonii
NC_010817,7277,Isoodon obesulus
NC_010818,2737,Hibiscus cannabinus
NC_010821,316674,Pseudomonas chlororaphis
NC_010806,5808,Rosa
NC_010807,38815,Salmonella enterica subsp. enterica serovar Gallinarum
NC_010808,44342,Staphylococcus aureus
NC_010809,5674,Benincasa hispida
NC_010811,231255,Ralstonia
NC_010812,2756,Solanum lycopersicum
NC_010799,2740,Avena sativa
NC_010800,27657,Meleagris gallopavo
NC_010791,2738,Boehmeria nivea
NC_010792,2708,Boehmeria nivea
NC_010746,2269,Cryphonectria parasitica
NC_010747,2056,Cryphonectria parasitica
NC_010748,2023,Cryphonectria parasitica
NC_010749,1539,Cryphonectria parasitica
NC_010750,1536,Cryphonectria parasitica
NC_010751,1072,Cryphonectria parasitica
NC_010752,975,Cryphonectria parasitica
NC_010753,732,Cryphonectria parasitica
NC_010743,4127,Cryphonectria parasitica
NC_010744,3846,Cryphonectria parasitica
NC_010745,3258,Cryphonectria parasitica
NC_010754,2305,Endoconidiophora resinifera
NC_010755,2207,Endoconidiophora resinifera
NC_010732,5920,Nicotiana tabacum
NC_010735,9742,Verbena
NC_010736,9842,Cucurbita
NC_010737,7713,Lamium maculatum
NC_010704,1530,Suncus murinus
NC_010707,6581,Suncus murinus
NC_010708,3621,Suncus murinus
NC_010711,3674,Apis mellifera
NC_010712,2305,Apis mellifera
NC_010713,2767,Clerodendrum philippinum
NC_010714,2757,Clerodendrum philippinum
NC_010702,7141,Sigmodon hispidus
NC_010703,7132,Neotoma albigula
NC_010661,883,Helicoverpa armigera
NC_010662,1830,Helicoverpa armigera
NC_010663,1066,Helicoverpa armigera
NC_010664,1268,Helicoverpa armigera
NC_010647,2630,Macroptilium lathyroides
NC_010648,2593,Macroptilium lathyroides
NC_010646,31686,Delphinapterus leucas
NC_010618,2747,Capsicum annuum
NC_010619,1196,Capsicum annuum
NC_010576,55597,Lactococcus lactis
NC_010583,111382,Escherichia coli
NC_010584,3949,Ctenopharyngodon idella
NC_010585,3876,Ctenopharyngodon idella
NC_010586,3709,Ctenopharyngodon idella
NC_010587,2293,Ctenopharyngodon idella
NC_010588,2237,Ctenopharyngodon idella
NC_010589,2042,Ctenopharyngodon idella
NC_010590,1356,Ctenopharyngodon idella
NC_010591,1305,Ctenopharyngodon idella
NC_010592,1125,Ctenopharyngodon idella
NC_010593,912,Ctenopharyngodon idella
NC_010594,772,Ctenopharyngodon idella
NC_010561,8530,Phaseolus vulgaris
NC_010569,1362,Hibiscus cannabinus
NC_010560,8965,Phaseolus vulgaris
NC_010562,3357,Homo sapiens
NC_010563,7107,Homo sapiens
NC_010537,41172,Acidianus uzoniensis
NC_010538,8550,Humulus lupulus
NC_010237,63395,Escherichia coli O157:H7
NC_010429,6867,Stenotrophomonas
NC_010521,9836,Citrullus lanatus subsp. vulgaris
NC_010489,3279,Solanum lycopersicum
NC_010490,4945,Solanum lycopersicum
NC_010491,8919,Solanum lycopersicum
NC_010495,45051,Salmonella enterica
NC_010439,2723,Solanum lycopersicum
NC_010440,2761,Solanum lycopersicum
NC_010441,2750,Solanum lycopersicum
NC_010434,7674,Lolium perenne
NC_010435,2740,Hibiscus cannabinus
NC_010417,2845,Beta vulgaris subsp. vulgaris
NC_010363,18762,Lactococcus lactis
NC_010356,190032,Glossina pallidipes
NC_010354,7556,Bos taurus
NC_010355,62337,Azospirillum brasilense
NC_010353,35543,Streptococcus thermophilus
NC_010352,2746,Eragrostis curvula
NC_010342,39245,Halomonas aquamarina
NC_010343,1717,Raphanus sativus
NC_010344,1521,Raphanus sativus
NC_010345,1485,Raphanus sativus
NC_010324,77554,Escherichia coli
NC_010325,45625,Pseudomonas aeruginosa
NC_010326,43548,Pseudomonas aeruginosa PAO1
NC_010328,1339,Malachra
NC_010313,2803,Solanum lycopersicum
NC_010314,1090,Musa sp.
NC_010315,1057,Musa sp.
NC_010316,1087,Musa sp.
NC_010317,1074,Musa sp.
NC_010318,1015,Musa sp.
NC_010319,1099,Musa sp.
NC_010306,26253,Penaeus monodon
NC_010307,2725,Emilia sonchifolia
NC_010308,396,Diospyros kaki
NC_010297,1338,Cardiospermum microcarpum
NC_010295,5816,Phaius flavus
NC_010294,2604,Glycine max
NC_010277,5387,Homo sapiens
NC_010253,3343,Oecomys bicolor
NC_010255,7102,Peromyscus californicus
NC_010256,3339,Peromyscus californicus
NC_010246,5193,Pyricularia oryzae
NC_010235,1361,Capsicum annuum var. annuum
NC_010236,1370,Capsicum frutescens
NC_010238,2756,Raphanus sativus
NC_010239,1358,Raphanus sativus
NC_010226,7742,Canis lupus familiaris
NC_010191,186713,Ostreococcus tauri
NC_010179,40881,Lactobacillus johnsonii
NC_010152,39577,Acidianus convivator
NC_010153,36895,Acidianus convivator
NC_010154,38179,Acidianus convivator
NC_010147,43011,Staphylococcus aureus
NC_010116,58663,Pseudomonas aeruginosa
NC_010105,170523,Escherichia coli
NC_010106,52975,Escherichia coli
NC_010107,7295,Perameles bougainville
NC_009986,15135,Sulfolobus islandicus
NC_009987,7870,Spiroplasma kunkelii
NC_009989,27751,Pantherophis guttatus
NC_009990,37313,Thalassotalea loyana
NC_009991,9058,Phlox divaricata
NC_009992,14214,Prunus domestica
NC_009993,53746,Mycolicibacterium smegmatis
NC_009994,9570,Nicotiana tabacum
NC_009995,9730,Cucurbita pepo var. melopepo
NC_009965,24655,Acidianus sp. Acii26
NC_009951,5075,Saimiri boliviensis
NC_009944,2498,Fungi
NC_009945,2833,Fungi
NC_009946,3128,Fungi
NC_009947,3399,Fungi
NC_009935,43200,Pseudomonas aeruginosa
NC_009936,41593,Pseudomonas aeruginosa
NC_009903,1354,Hibiscus sabdariffa
NC_009904,142072,Enterococcus faecalis
NC_009884,31787,Acidianus pozzuoliensis
NC_009891,6718,Pusa hispida
NC_009892,9005,Prunus persica
NC_009818,36409,Pseudomonas aeruginosa UCBPP-PA14
NC_009877,51277,Mycobacterium
NC_009824,9456,Homo sapiens
NC_009825,9355,Homo sapiens
NC_009826,9343,Homo sapiens
NC_009875,17938,Staphylococcus aureus
NC_009810,38867,Listeria monocytogenes
NC_009811,137619,Listeria monocytogenes
NC_009812,42653,Listeria monocytogenes
NC_009813,48172,Listeria monocytogenes
NC_009814,35822,Listeria monocytogenes
NC_009815,38124,Listeria monocytogenes
NC_009816,70579,Corynebacterium glutamicum
NC_009817,79232,Lactococcus lactis
NC_009819,40539,Streptococcus equi
NC_009820,58692,Mycolicibacterium smegmatis
NC_009821,164270,Escherichia coli K-12
NC_009803,84201,Thermus thermophilus
NC_009804,83319,Thermus thermophilus
NC_009799,42972,[Brevibacterium] flavum
NC_009764,8727,Verbena
NC_009759,8404,Solanum tuberosum
NC_009760,218948,Bacillus thuringiensis
NC_009761,42232,Staphylococcus
NC_009762,47785,Staphylococcus
NC_009763,42973,Staphylococcus
NC_009741,9804,Anredera cordifolia
NC_009742,9689,Telosma cordata
NC_009744,9659,Solanum torvum
NC_009745,9711,Musa acuminata
NC_009737,35055,Bacillus sp. 6k512
NC_009731,1346,Abelmoschus esculentus
NC_009642,6375,Solanum melongena
NC_009643,17171,Actinomyces naeslundii
NC_009644,2677,Corchorus capsularis
NC_009645,2731,Pueraria montana
NC_009646,2649,Corchorus capsularis
NC_009647,2672,Pueraria montana
NC_009605,2562,Solanum lycopersicum
NC_009606,2611,Solanum lycopersicum
NC_009607,2593,Capsicum frutescens
NC_009612,2571,Capsicum baccatum
NC_009603,46365,Microbacterium nematophilum
NC_009604,47382,Burkholderia cenocepacia HI2424
NC_009597,18098,Pyrococcus abyssi
NC_009570,1349,Solanum lycopersicum
NC_009571,1346,Lonicera japonica
NC_009556,1358,Mimosa
NC_009558,1340,Sida rhombifolia
NC_009559,1342,Erechtites valerianifolius
NC_009560,1356,Solanum lycopersicum
NC_009561,1346,Lindernia procumbens
NC_009562,1344,Zinnia elegans
NC_009563,1372,Sida rhombifolia
NC_009564,1378,Mimosa
NC_009551,43249,Leptolyngbya foveolarum
